timestamp,app_name,window_title,category,time_spent_sec,idle_time_sec,hour,day_of_week,is_weekend,label
2026-02-26 22:42:38.180367,code.exe,tracker.py - project1 - Visual Studio Code,study,15.05,0.0,22,3,0,
2026-02-26 22:42:43.186459,explorer.exe,,other,5.01,0.0,22,3,0,
2026-02-26 22:42:48.198518,code.exe,tracker.py - project1 - Visual Studio Code,study,5.01,0.03,22,3,0,
2026-02-26 22:43:18.212454,chrome.exe,Resume-Boosting Project Ideas - Google Chrome,browser,30.01,0.0,22,3,0,
2026-02-26 22:43:23.216170,code.exe,tracker.py - project1 - Visual Studio Code,study,5.0,0.44,22,3,0,
2026-02-26 22:43:48.228756,code.exe,activity_dataset.csv - project1 - Visual Studio Code,study,25.01,0.0,22,3,0,
2026-02-26 22:43:53.233785,snippingtool.exe,Snipping Tool Overlay,other,5.01,0.34,22,3,0,
2026-02-26 22:43:58.242935,snippingtool.exe,Snipping Tool,other,5.01,0.33,22,3,0,
2026-02-26 22:44:08.254776,chrome.exe,Resume-Boosting Project Ideas - Google Chrome,browser,10.01,0.08,22,3,0,
2026-02-26 22:44:13.262136,chrome.exe,(1) Instagram • Messages - Google Chrome,browser,5.01,0.88,22,3,0,
2026-02-26 22:44:23.272421,chrome.exe,Instagram • Messages - Google Chrome,browser,10.01,0.12,22,3,0,
2026-02-26 22:46:23.299229,chrome.exe,Resume-Boosting Project Ideas - Google Chrome,browser,120.03,0.38,22,3,0,
2026-02-26 22:46:53.310363,chrome.exe,Instagram - Google Chrome,browser,30.01,2.16,22,3,0,
2026-02-26 22:47:43.332757,chrome.exe,Resume-Boosting Project Ideas - Google Chrome,browser,50.02,0.0,22,3,0,
2026-02-26 22:47:48.341789,chrome.exe,Instagram - Google Chrome,browser,5.01,0.47,22,3,0,
2026-02-26 22:47:53.351024,explorer.exe,,other,5.01,0.0,22,3,0,
2026-02-26 22:50:03.430419,chrome.exe,Instagram - Google Chrome,browser,130.08,0.05,22,3,0,
2026-02-26 22:50:13.480752,whatsapp.root.exe,WhatsApp,other,10.05,0.09,22,3,0,
2026-02-26 22:50:18.488343,chrome.exe,Instagram - Google Chrome,browser,5.01,0.0,22,3,0,
2026-02-26 22:50:58.505008,chrome.exe,Resume-Boosting Project Ideas - Google Chrome,browser,40.02,0.0,22,3,0,
2026-02-26 22:51:03.511819,code.exe,activity_dataset.csv - project1 - Visual Studio Code,study,5.01,0.61,22,3,0,
2026-02-26 22:51:48.533384,chrome.exe,Resume-Boosting Project Ideas - Google Chrome,browser,45.02,0.01,22,3,0,
2026-02-26 22:53:13.564578,chrome.exe,Instagram - Google Chrome,browser,85.03,1.03,22,3,0,
2026-02-26 22:53:33.577203,whatsapp.root.exe,WhatsApp,other,20.01,0.02,22,3,0,
